index,area,intensity,amount,drug type,well row,well column
1,115,44.02608695652174,0.0,Negative Control,A,1
2,123,33.609756097560975,0.0,Negative Control,A,1
3,388,8.724226804123711,0.0,Negative Control,A,1
5,101,21.15841584158416,0.0,Negative Control,A,1
7,159,14.38993710691824,0.0,Negative Control,A,1
8,183,4.737704918032787,0.0,Negative Control,A,1
9,246,6.451219512195122,0.0,Negative Control,A,1
10,156,25.96153846153846,0.0,Negative Control,A,1
11,167,6.107784431137724,0.0,Negative Control,A,1
12,122,14.270491803278688,0.0,Negative Control,A,1
13,247,16.40080971659919,0.0,Negative Control,A,1
14,236,67.47881355932203,0.0,Negative Control,A,1
15,159,28.21383647798742,0.0,Negative Control,A,1
16,336,16.613095238095237,0.0,Negative Control,A,1
17,203,6.236453201970443,0.0,Negative Control,A,1
18,248,36.11693548387097,0.0,Negative Control,A,1
19,191,18.94764397905759,0.0,Negative Control,A,1
20,99,4.03030303030303,0.0,Negative Control,A,1
21,177,31.683615819209038,0.0,Negative Control,A,1
22,231,20.060606060606062,0.0,Negative Control,A,1
23,219,43.789954337899545,0.0,Negative Control,A,1
24,140,7.55,0.0,Negative Control,A,1
25,212,3.589622641509434,0.0,Negative Control,A,1
26,128,7.1484375,0.0,Negative Control,A,1
27,254,6.381889763779528,0.0,Negative Control,A,1
28,212,6.033018867924528,0.0,Negative Control,A,1
29,151,38.629139072847686,0.0,Negative Control,A,1
30,247,23.83400809716599,0.0,Negative Control,A,1
32,196,32.60204081632653,0.0,Negative Control,A,1
33,291,14.965635738831615,0.0,Negative Control,A,1
34,234,79.88461538461539,0.0,Negative Control,A,1
36,141,6.333333333333333,0.0,Negative Control,A,1
37,171,12.929824561403509,0.0,Negative Control,A,1
38,155,22.703225806451613,0.0,Negative Control,A,1
39,204,8.833333333333334,0.0,Negative Control,A,1
40,162,18.75925925925926,0.0,Negative Control,A,1
41,138,30.557971014492754,0.0,Negative Control,A,1
42,179,2.2849162011173183,0.0,Negative Control,A,1
44,168,2.9345238095238093,0.0,Negative Control,A,1
45,130,17.8,0.0,Negative Control,A,1
46,216,30.61111111111111,0.0,Negative Control,A,1
47,298,29.614093959731544,0.0,Negative Control,A,1
48,148,21.804054054054053,0.0,Negative Control,A,1
49,247,22.0,0.0,Negative Control,A,1
50,167,15.149700598802395,0.0,Negative Control,A,1
51,79,3.1139240506329116,0.0,Negative Control,A,1
52,179,13.59217877094972,0.0,Negative Control,A,1
53,160,2.4375,0.0,Negative Control,A,1
54,202,35.03465346534654,0.0,Negative Control,A,1
55,166,15.656626506024097,0.0,Negative Control,A,1
56,151,14.95364238410596,0.0,Negative Control,A,1
57,205,7.990243902439024,0.0,Negative Control,A,1
